coauthor,_freq
105 collaborators,1
> SN Broadberry,1
A A Rampini,1
A ALESINA,1
A Aakvik,2
A Abadie,2
A Abdulkadiroglu,1
A Abdurazakov,1
A Abigail Payne,16
A Abraham,2
A Abulafi,1
A Abulkadiroglu,2
A Adlina,1
A Agarwal,1
A Agrawal,2
A Ahearne,1
A Ahmed,1
A Akhmanova,1
A AlarcÃ³n,1
A Alberini,3
A Alesina,20
A Alessina,1
A Ali Daniel,1
A Almeida,1
A Alpaslan Altun,1
A Amano,1
A Amighini,1
A Angelsen,1
A Annett,1
A Anrose,2
A Aposolides,1
A Appadurai,1
A Araar,1
A Aradillas-Lopez,1
A Ardern-Jones,1
A Ardernâ€Jones,1
A Arora,1
A Arppe,1
A Artuso,1
A Ash,3
A Ashraf,1
A Aslani,1
A Astrup,1
A Atila,2
A Atkinson,4
A B&sch-Supan,1
A BANERJEE,2
A BUSINESS,1
A Baccini,1
A Bachellerie,1
A Baghvand,1
A Baglino,1
A Baldwin,2
A Banal-EstaÃ±ol,1
A Banerjee,16
A Banerji,1
A Barnett,1
A Barr,3
A Barro Alesina,2
A Bartak,1
A Basil,1
A Bastianin,1
A Basu,8
A Basualdo,1
A Baujard,1
A Bayrou,1
A BeauliÃ¨re,1
A Becker,1
A Bedel,1
A Bedi,2
A Bell,2
A Belloni,1
A Ben Yishay,2
A Benassy-Quere,1
A Bento,1
A Bernard,3
A Bhattacharjee,1
A Bhattacharyya,2
A Bhuiya,1
A Bieswanger,2
A Bigsten,3
A Binagwaho,1
A Bish,1
A Bjorklund,1
A BjÃ¶rklund,1
A Blackman,2
A Blackwood-Chirchir,1
A Blais,3
A Blaye,1
A Blinder,1
A Blokland,1
A Bloom,1
A Bolte,1
A Boltho,1
A Borisov,1
A Bovenberg,6
A Brad Murray,9
A Bramson,1
A Brand,1
A Brandon,2
A Bratasz,1
A Braverman,3
A Brezigar Masten,1
A Bringsjord,1
A Bris,1
A Brouwer,1
A Brugiavini,2
A Bryson,1
A BrÃº,1
A Bucciol,1
A Burak GÃ¼ner,1
A Burnett,1
A Burstein,1
A Burtovoi,1
A Butrym,2
A BÃ‰NASSY-QUÃ‰RÃ‰,1
A Cabrales,1
A Calin,2
A Caplin,3
A Cardoso,3
A Carol,1
A Carolina Ortega,2
A Carruth,1
A Casarico,1
A Case,5
A Casella,1
A Casey,1
A Castaneda,1
A Chakrabarti,1
A Chapman,1
A Chari.,1
A Chassagnon,1
A Chaudhary,1
A Chen,1
A Chesher,7
A Chessman,1
A Chiappori,1
A Chrystal,1
A ChÃ©ron,3
A Cirone,1
A Cohen,2
A Colangelo,1
A Cole Burton,2
A Colin Cameron,8
A Conchado,1
A Conroy,1
A Conze,1
A Cornelius,1
A Cosh,2
A Couffinhal,1
A Cox,2
A Craig Burnside,14
A Craig MacKinlay,1
A Cristea,1
A Crowe,1
A Cruz,1
A Cunat,3
A CÃ¡ceres,1
A CÃ¡sares de Maselli,1
A Dan Tarlock,1
A Daouia,1
A Das,1
A Dasgupta,1
A David,1
A De Grip,6
A De Jong,1
A De Paula,1
A De la Fuente,1
A Deardorfd,1
A Deardorff,4
A Denny Ellerman,13
A Desai,1
A Deykin,1
A DiVenere,1
A Dick,1
A Diercks,3
A Disdier,1
A Divit,1
A Dixit,3
A Dobermann,3
A DomÃ­nguez,2
A Dorbandt,1
A Douglas Melamed,2
A Dowe,2
A Drazen,2
A Dupuy,3
A Dutta,1
A Edlin,1
A Eichberger,1
A Ejrnaes,1
A Erce,1
A Espejel GarcÃ­a,1
A Estrada,1
A Evans,2
A Ewing,1
A Falk,12
A Fantini,1
A Farago,1
A FaragÃ³,1
A Feest,1
A Fefferman,1
A Fenster,1
A Ferrer-i-Carbonell,2
A Fiat,1
A Figliuzzi,1
A Findlay,1
A Finkelstein Shapiro,1
A Fiore,1
A Firth,1
A Fitoussi,2
A Flache,1
A Fletcher,1
A Fontaine,1
A Foster,1
A Fotu,1
A Foxley,1
A Friedman,1
A Fuat FÄ±rat,1
A FÃ¼gener,1
A GALICHON,1
A GOOLSBEE,1
A Gabriella Wernicke,1
A Gaffney,1
A Gafni,1
A Galal,1
A Galasso,2
A Galatoire,2
A Galeotti,3
A Galichon,1
A Galione,1
A Gambardella,2
A Gambhir,1
A Gandhi,2
A Garcia-Mosqueria,1
A GarcÃ­a,1
A Garrat,1
A Garratt,2
A GavilÃ¡n,1
A Gayoso,1
A Gelb,2
A Ghosh,17
A Gijsbert,1
A Gijsbert C van Lomwel,2
A Giobannini,1
A Giovannini,1
A Glyn,1
A Goodall,1
A Goodman,1
A Goto,2
A Greif,1
A Gritz,1
A Gunay,1
A Gyorgy,1
A GÃ¼ldem Cerit,1
A HARGERBER,1
A Haferkamp,1
A Hait,1
A Halabi,1
A Hall,1
A Hamoudi,1
A Hanks,3
A Hanushek Eric,1
A Harberger,4
A Harrison,1
A Haurie,3
A Heare,1
A Heath,1
A Hecq,1
A Herbert,1
A HernÃ¡ndez,1
A Hirsh,1
A Hofman,1
A Holly,1
A Horne,2
A Horst,1
A Hortacscu,1
A Hortacsu,1
A Horton,1
A Hubert,1
A Hughes,2
A Hughes Hallett,1
A Hunt,1
A Ichino,2
A Islam,1
A Ismariah,1
A IÅŸÄ±k,1
A Jaffe,4
A James Lee,2
A James O'Malley,5
A James O'malley,1
A James Oâ€™Malley,8
A James Oâ€™malley,3
A Jamous,1
A Janvry,1
A Jeffrey,1
A John Maule,2
A Johns David,1
A Johnson,1
A Jol,1
A Jones,1
A Jones-Rooy,1
A Jorge Padilla,5
A Joshua Strickland,1
A Judd,1
A Justin Kirkpatrick,3
